name,year,engine_capacity,horse_power,fuel,transmission,drive_unit,mileage,location,price
BMW 7-Series,2011,4.4,407,бензин,АКПП,4WD,192000,Москва,1 999 999 ₽
Ford Kuga,2014,2.0,140,дизель,робот,4WD,149000,Санкт-Петербург,1 250 000 ₽
BMW X6,2020,3.0,400,дизель,АКПП,4WD,39000,Минск,8 738 349 ₽
Chevrolet Aveo,2009,1.2,84,бензин,механика,передний,175000,Нягань,400 000 ₽
Toyota Corolla,2006,1.4,97,бензин,механика,передний,297000,Новосибирск,555 000 ₽
Nissan Note,2017,1.2,98,бензин,вариатор,передний,131000,Новороссийск,1 050 000 ₽
Mercedes-Benz S-Class,1993,3.2,231,бензин,механика,задний,270000,Аргун,200 000 ₽
BMW X5,2019,3.0,265,дизель,АКПП,4WD,73279,Санкт-Петербург,6 430 000 ₽
Лада 4x4 2121 Нива,2013,1.7,83,бензин,механика,4WD,7000,Раменское,980 000 ₽
УАЗ Патриот,2010,2.7,128,бензин,механика,4WD,300000,Новоегорьевское,500 000 ₽
Chevrolet Niva,2012,1.7,80,бензин,механика,4WD,156000,Тула,595 000 ₽
Mercedes-Benz Viano,2013,2.1,163,дизель,автомат,4WD,200000,Санкт-Петербург,2 139 000 ₽
Лада 2114 Самара,2012,1.6,81,бензин,механика,передний,120000,Барнаул,200 000 ₽
Hyundai Accent,2008,1.5,102,бензин,механика,передний,132000,Анна,550 000 ₽
Chery Tiggo 4 Pro,2023,1.5,113,бензин,механика,передний,0,Казань,2 249 900 ₽
Hyundai Accent,2004,1.5,102,бензин,механика,передний,252000,Уфа,335 000 ₽
ИЖ 2125 Комби,1992,1.5,66,бензин,механика,задний,200000,Саки,33 000 ₽
Chery Tiggo 4 Pro,2023,1.5,113,бензин,механика,передний,0,Казань,2 249 900 ₽
ЗАЗ Славута,2006,1.2,62,бензин,механика,передний,150000,Саки,90 000 ₽
Chery Tiggo 4 Pro,2023,1.5,113,бензин,механика,передний,0,Казань,2 249 900 ₽
JAC JS6,2023,1.5,180,бензин,робот,передний,0,Котельники,2 700 000 ₽
Opel Corsa,2008,1.2,80,бензин,робот,передний,131000,Краснодар,480 000 ₽
Hyundai Solaris,2015,1.4,107,бензин,АКПП,передний,131700,Санкт-Петербург,1 059 000 ₽
Kia Picanto,2018,1.2,84,бензин,АКПП,передний,35000,Санкт-Петербург,1 309 000 ₽
Mazda Familia,2001,1.5,110,бензин,АКПП,передний,280000,Барнаул,465 000 ₽
Mitsubishi Pajero,1990,2.5,95,дизель,механика,4WD,309000,Тула,350 000 ₽
Лада Веста Кросс,2021,1.6,113,бензин,вариатор,передний,20283,Москва,1 625 000 ₽
Лада Приора,2009,1.6,98,бензин,механика,передний,190000,Симферополь,440 000 ₽
BMW X6,2010,3.0,306,дизель,АКПП,4WD,144444,Воронеж,2 550 000 ₽
Opel Zafira,2012,2.0,165,дизель,АКПП,передний,0,Махачкала,1 400 000 ₽
Renault Laguna,1994,1.8,90,бензин,механика,передний,238483,Советск,299 999 ₽
Mitsubishi L200,2014,2.5,136,дизель,АКПП,4WD,165500,Самара,2 000 000 ₽
Nissan Teana,2007,2.0,136,бензин,АКПП,передний,235000,Санкт-Петербург,1 100 000 ₽
Citroen C3,2006,1.4,75,бензин,механика,передний,0,Реж,370 000 ₽
BMW 5-Series,2010,3.0,258,бензин,АКПП,задний,360000,Новокузнецк,1 600 000 ₽
Лада 2112,2005,1.6,89,бензин,механика,передний,0,Нижний Новгород,180 000 ₽
Volkswagen Polo,2017,1.6,110,бензин,АКПП,передний,146299,Минеральные Воды,1 349 000 ₽
Daihatsu Esse,2008,0.7,58,бензин,АКПП,передний,120000,Санкт-Петербург,425 000 ₽
Isuzu Trooper,1997,3.2,190,бензин,механика,4WD,256000,Рязань,405 000 ₽
Mazda Mazda6,2006,1.8,120,бензин,механика,передний,250000,Тюмень,265 000 ₽
Ford Focus,2012,1.6,105,бензин,робот,передний,205541,Минеральные Воды,890 000 ₽
Volkswagen Golf,2010,1.4,122,бензин,робот,передний,152772,Тверь,915 000 ₽
Hyundai Creta,2021,1.6,123,бензин,АКПП,передний,90936,Минеральные Воды,2 249 000 ₽
Kia Sephia,1994,1.5,80,бензин,механика,передний,,Касли,79 000 ₽
Kia Rio,2017,1.6,123,бензин,АКПП,передний,95053,Томск,1 590 000 ₽
Renault Duster,2019,2.0,143,бензин,АКПП,4WD,130300,Ставрополь,1 749 000 ₽
Renault Arkana,2020,1.3,150,бензин,автомат,4WD,57721,Тверь,2 199 000 ₽
Kia Rio X (X-Line),2019,1.6,123,бензин,АКПП,передний,44460,Ставрополь,1 849 000 ₽
Opel Antara,2008,3.2,227,бензин,АКПП,4WD,189156,Иваново,945 000 ₽
Mazda Mazda3,2008,1.6,105,бензин,АКПП,передний,334000,Геленджик,600 000 ₽
Skoda Yeti,2012,1.2,105,бензин,робот,передний,130000,Москва,980 000 ₽
Opel Vectra,2007,1.8,140,бензин,механика,передний,270000,Санкт-Петербург,630 000 ₽
Лада 2112,2008,1.6,89,бензин,механика,передний,0,Саракташ,195 000 ₽
Mazda CX-5,2021,2.0,150,бензин,АКПП,передний,27500,Челябинск,3 199 000 ₽
Kia Optima,2016,2.0,150,бензин,АКПП,передний,111000,Ставрополь,1 890 000 ₽
Mercedes-Benz E-Class,2005,3.5,272,бензин,АКПП,задний,427000,Минеральные Воды,949 000 ₽
Volkswagen Tiguan,2018,2.0,150,дизель,робот,4WD,158409,Ставрополь,2 690 000 ₽
Skoda Yeti,2017,1.8,152,бензин,робот,4WD,198628,Санкт-Петербург,1 690 000 ₽
Opel Mokka,2014,1.4,140,бензин,АКПП,передний,110230,Ставрополь,1 390 000 ₽
Kia Rio,2012,1.6,123,бензин,АКПП,передний,231000,Симферополь,899 000 ₽
Lifan X60,2015,1.8,128,бензин,механика,передний,137971,Иваново,770 000 ₽
Nissan Skyline,2004,2.5,215,бензин,АКПП,задний,273000,Москва,835 000 ₽
Skoda Yeti,2011,1.2,105,бензин,робот,передний,235000,Ставрополь,890 000 ₽
Zeekr 001,2023,,544,электро,автомат,4WD,,Волгоград,6 499 000 ₽
Лада Веста Кросс,2018,1.8,122,бензин,механика,передний,117000,Ставрополь,1 230 000 ₽
Hyundai Solaris,2015,1.6,123,бензин,АКПП,передний,189000,Ставрополь,1 120 000 ₽
Daihatsu Move,2015,0.7,64,бензин,вариатор,передний,80000,Нижний Новгород,850 000 ₽
Лада 2101,1976,1.5,73,бензин,механика,задний,85000,Севастополь,35 000 ₽
Zeekr 001,2023,,544,электро,автомат,4WD,,Волгоград,6 499 000 ₽
Changan CS35,2014,1.6,113,бензин,механика,передний,113700,Ставрополь,850 000 ₽
Citroen C4,2015,1.6,150,бензин,АКПП,передний,99500,Санкт-Петербург,1 200 000 ₽
Audi A6,2010,2.0,170,бензин,вариатор,передний,179100,Ставрополь,985 000 ₽
BMW X3,2012,2.0,184,бензин,АКПП,4WD,246000,Волгоград,1 809 000 ₽
Chevrolet Blazer,1997,4.3,196,бензин,автомат,4WD,245000,Екатеринбург,255 000 ₽
Renault Duster,2021,1.5,109,дизель,механика,4WD,46336,Волгоград,2 219 000 ₽
Honda e:NS1,2023,,204,электро,АКПП,передний,,Москва,3 550 000 ₽
Лада 2112,2005,1.6,89,бензин,механика,передний,390000,Сургут,190 000 ₽
Land Rover Range Rover,2020,4.4,339,дизель,АКПП,4WD,163940,Санкт-Петербург,9 500 000 ₽
Haval F7,2023,2.0,190,бензин,робот,4WD,0,Волгоград,2 929 000 ₽
Haval F7x,2023,2.0,190,бензин,робот,4WD,0,Волгоград,3 379 000 ₽
Mercedes-Benz C-Class,2019,1.5,150,бензин,автомат,задний,64000,Волгоград,3 199 000 ₽
Honda Accord,1997,1.8,125,бензин,АКПП,передний,200000,Владикавказ,160 000 ₽
Toyota RAV4,2020,2.0,149,бензин,вариатор,передний,35683,Москва,3 700 000 ₽
Nissan Qashqai,2017,1.6,130,дизель,вариатор,передний,54880,Волгоград,1 949 000 ₽
Лада 2114 Самара,2008,1.6,81,бензин,механика,передний,0,Кувандык,140 000 ₽
Mercedes-Benz S-Class,2021,3.0,367,бензин,АКПП,4WD,9699,Санкт-Петербург,17 500 000 ₽
ГАЗ 24 Волга,1990,2.4,100,бензин,механика,задний,78000,Челябинск,200 000 ₽
Toyota Land Cruiser Prado,2012,2.7,163,бензин,АКПП,4WD,100000,Находка,3 000 000 ₽
Buick Encore GX,2020,1.3,165,бензин,АКПП,4WD,82000,Минск,1 250 000 ₽
Mercedes-Benz GLE,2021,2.0,245,дизель,АКПП,4WD,39997,Санкт-Петербург,9 300 000 ₽
Haval F7,2020,2.0,190,бензин,робот,4WD,22623,Барнаул,2 770 000 ₽
BMW 7-Series,2012,3.0,306,дизель,АКПП,4WD,143145,Москва,2 060 000 ₽
Chevrolet TrailBlazer,2021,1.2,137,бензин,вариатор,передний,22300,Москва,2 150 000 ₽
Mercedes-Benz GLC Coupe,2019,2.0,211,бензин,АКПП,4WD,54871,Москва,4 430 000 ₽
Mercedes-Benz GLC,2015,2.0,211,бензин,АКПП,4WD,160000,Барнаул,2 782 000 ₽
Mercedes-Benz GLE,2021,2.0,245,дизель,АКПП,4WD,34747,Санкт-Петербург,9 450 000 ₽
Лада Веста,2017,1.8,122,бензин,робот,передний,70000,Екатеринбург,1 140 000 ₽
Hyundai Creta,2017,1.6,121,бензин,АКПП,4WD,119000,Москва,1 700 000 ₽
Лада 2107,2007,1.6,74,бензин,механика,задний,63000,Анапа,175 000 ₽
Kia Sorento,2019,3.3,294,бензин,автомат,4WD,120778,Москва,2 299 000 ₽
Volvo XC60,2021,2.0,249,бензин,АКПП,4WD,52000,Санкт-Петербург,4 699 000 ₽
Daewoo Nexia,2012,1.6,109,бензин,механика,передний,158000,Казань,130 000 ₽
SsangYong Actyon,2012,2.0,149,дизель,механика,4WD,120000,Курганинск,900 000 ₽
Renault Koleos,2011,2.5,171,бензин,механика,4WD,145659,Москва,1 249 000 ₽
Лада Приора,2012,1.6,98,бензин,механика,передний,187000,Екатеринбург,379 000 ₽
Toyota Raize,2020,1.0,98,бензин,вариатор,передний,36000,Мегет,1 890 000 ₽
Nissan X-Trail,2015,2.5,171,бензин,вариатор,4WD,163495,Москва,1 929 000 ₽
BMW X5,2021,3.0,249,дизель,АКПП,4WD,82000,Москва,9 500 000 ₽
Hyundai Solaris,2018,1.4,100,бензин,АКПП,передний,181500,Армавир,1 300 000 ₽
Kia Stinger,2018,2.0,247,бензин,АКПП,4WD,90500,Санкт-Петербург,2 595 000 ₽
Ford Focus,2018,1.5,120,дизель,АКПП,передний,0,Минск,1 414 366 ₽
Hyundai i30,2010,1.6,126,бензин,АКПП,передний,164602,Москва,898 000 ₽
Mitsubishi Outlander,2018,2.0,146,бензин,вариатор,4WD,83000,Томск,2 450 000 ₽
Chevrolet Aveo,2012,1.6,115,бензин,механика,передний,225000,Славянск-На-Кубани,727 000 ₽
Renault Megane,2012,1.6,110,бензин,механика,передний,140000,Дмитриевка,800 000 ₽
Toyota Mark II,1998,2.0,140,бензин,АКПП,задний,250000,Когалым,580 000 ₽
Skoda Rapid,2014,1.6,110,бензин,автомат,передний,178000,Минск,990 867 ₽
BMW X5,2017,3.0,249,дизель,АКПП,4WD,87323,Санкт-Петербург,4 790 000 ₽
Mitsubishi Lancer Evolution,2009,2.0,295,бензин,робот,4WD,132000,Москва,2 500 000 ₽
Haval H9,2019,2.0,245,бензин,АКПП,4WD,69000,Москва,2 999 000 ₽
Mitsubishi Outlander,2008,3.0,220,бензин,АКПП,4WD,200,Кемерово,405 000 ₽
Mazda Mazda6,2016,2.0,150,бензин,АКПП,передний,236185,Минск,1 711 563 ₽
Mercedes-Benz V-Class,2018,2.1,190,дизель,АКПП,задний,90000,Москва,4 950 000 ₽
Mitsubishi RVR,2019,1.8,139,бензин,вариатор,передний,9000,Мегет,2 195 000 ₽
Volkswagen Passat,1997,1.8,150,бензин,механика,передний,330000,Ново-Талицы,240 000 ₽
Skoda Kodiaq,2021,1.4,150,бензин,робот,4WD,28560,Москва,3 080 000 ₽
Toyota Yaris,2006,1.3,87,бензин,робот,передний,160000,Бердск,685 000 ₽
Toyota Yaris,2017,1.5,111,бензин,вариатор,передний,78000,Табуны,1 300 000 ₽
Haval F7,2019,1.5,150,бензин,робот,передний,20185,Вичуга,2 150 000 ₽
Лада 2110,2007,1.6,81,бензин,механика,передний,190000,Вишневогорск,139 000 ₽
Mitsubishi Eclipse Cross,2019,1.5,150,бензин,вариатор,передний,30568,Минск,2 026 957 ₽
Toyota Carina,1999,1.8,115,бензин,АКПП,передний,340000,Комсомольск-на-Амуре,400 000 ₽
Hyundai Solaris,2011,1.4,107,бензин,механика,передний,192000,Выкса,810 000 ₽
Лада 2115 Самара,2005,1.5,76,бензин,механика,передний,0,Козельск,36 000 ₽
Nissan Almera,2004,1.5,98,бензин,механика,передний,320963,Малаховка,150 000 ₽
Audi A4,2001,1.8,150,бензин,механика,передний,0,Екатеринбург,369 000 ₽
Toyota Hilux,2016,2.8,177,дизель,АКПП,4WD,199000,Ханты-Мансийск,3 449 000 ₽
Mitsubishi Outlander,2013,3.0,230,бензин,АКПП,4WD,196910,Москва,1 727 000 ₽
Nissan Juke,2011,1.6,117,бензин,вариатор,передний,186001,Казань,1 082 000 ₽
Audi Q5,2009,2.0,211,бензин,робот,4WD,320000,Черлак,1 785 000 ₽
BMW X3,2022,2.0,252,бензин,автомат,задний,9812,Минск,4 972 802 ₽
Opel Astra,2008,1.4,90,бензин,механика,передний,160202,Пермь,519 000 ₽
Kia Sorento,2019,2.4,175,бензин,АКПП,4WD,60000,Москва,2 120 000 ₽
Kia Ceed,2014,1.6,129,бензин,АКПП,передний,196000,Москва,1 290 000 ₽
Лада Приора,2017,1.6,87,бензин,механика,передний,370000,Югорск,700 000 ₽
Лада Калина,2008,1.6,81,бензин,механика,передний,0,Ульяновск,235 000 ₽
Москвич 3,2023,1.5,136,бензин,механика,передний,0,Москва,2 248 412 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Балашиха,4 874 990 ₽
Лада 21099,2002,1.5,78,бензин,механика,передний,25000,Берёзовский,160 000 ₽
Volkswagen Polo,2012,1.6,105,бензин,механика,передний,200000,Сухой Лог,800 000 ₽
Лада Приора,2009,1.6,98,бензин,механика,передний,152000,Нижний Тагил,415 000 ₽
Mazda CX-5,2019,2.5,194,бензин,АКПП,4WD,38888,Заводоуковск,3 500 000 ₽
Volkswagen Polo,2018,1.6,110,бензин,АКПП,передний,98000,Миасс,1 050 000 ₽
Лада Веста,2020,1.6,106,бензин,механика,передний,118000,Уфа,970 000 ₽
Nissan Avenir Salut,1997,1.8,125,бензин,АКПП,передний,250000,Колпашево,200 000 ₽
Mercedes-Benz GLC,2016,2.0,211,бензин,АКПП,4WD,85488,Москва,3 195 000 ₽
Mercedes-Benz GLE,2021,2.0,245,дизель,АКПП,4WD,44039,Москва,8 955 000 ₽
Mercedes-Benz GLE,2021,2.0,245,дизель,АКПП,4WD,61053,Москва,8 880 000 ₽
Лада 2112,2006,1.6,89,бензин,механика,передний,240000,Еманжелинск,180 000 ₽
Kia Cerato Koup,2012,2.0,150,бензин,механика,передний,175000,Бузулук,1 100 000 ₽
Лада 2106,2002,1.5,72,бензин,механика,задний,666666,Барнаул,25 000 ₽
Лада Приора,2010,1.6,98,бензин,механика,передний,166000,Омск,345 000 ₽
Toyota Nadia,1999,2.0,135,бензин,АКПП,передний,299999,Новосибирск,599 000 ₽
Лада 2112,2001,1.5,93,бензин,механика,передний,0,Козельск,130 000 ₽
Mercedes-Benz E-Class,2020,2.0,197,бензин,АКПП,4WD,70750,Москва,5 470 000 ₽
BMW X3,2020,2.0,184,бензин,АКПП,4WD,29001,Москва,4 749 000 ₽
Hyundai Solaris,2016,1.4,107,бензин,механика,передний,340000,Тюмень,650 000 ₽
Nissan Maxima,1999,3.0,193,бензин,АКПП,передний,450000,Москва,220 000 ₽
Peugeot 308,2010,1.6,120,бензин,АКПП,передний,0,Красный Сулин,845 000 ₽
Renault Logan,2012,1.6,84,бензин,механика,передний,84000,Старый Оскол,710 000 ₽
Mercedes-Benz GLS-Class,2016,3.0,249,дизель,АКПП,4WD,195000,Челябинск,5 250 000 ₽
Hyundai Creta,2020,2.0,149,бензин,АКПП,передний,105150,Санкт-Петербург,1 840 000 ₽
Audi Q5,2020,2.0,249,бензин,робот,4WD,33390,Москва,4 745 000 ₽
Лада Приора,2012,1.6,87,бензин,механика,передний,206000,Нягань,250 000 ₽
Nissan Terra,2017,2.0,143,бензин,автомат,4WD,0,Москва,1 295 000 ₽
BMW X7,2022,3.0,249,дизель,АКПП,4WD,49000,Москва,12 200 000 ₽
Citroen C5,2005,2.0,140,бензин,АКПП,передний,280000,Крыловская,460 000 ₽
Toyota Mark II,1993,2.5,180,бензин,АКПП,задний,220365,Москва,300 000 ₽
Лада Нива Легенд,2022,1.7,83,бензин,механика,4WD,12124,Санкт-Петербург,845 000 ₽
Nissan X-Trail,2021,2.0,144,бензин,вариатор,передний,27277,Санкт-Петербург,2 990 000 ₽
Toyota Camry,2021,2.5,200,бензин,АКПП,передний,62000,Санкт-Петербург,3 255 000 ₽
Toyota Camry,2018,2.5,181,бензин,АКПП,передний,113000,Москва,2 885 000 ₽
Kia Spectra,2006,1.6,101,бензин,механика,передний,217000,Екатеринбург,310 000 ₽
Skoda Rapid,2018,1.6,110,бензин,АКПП,передний,107936,Санкт-Петербург,1 245 000 ₽
Mercedes-Benz GLS-Class,2018,3.0,249,дизель,АКПП,4WD,94256,Москва,5 880 000 ₽
Лада 2105,1984,1.3,64,бензин,механика,задний,99999,Москва,110 000 ₽
Mazda CX-5,2018,2.5,194,бензин,АКПП,4WD,130000,Сургут,3 000 000 ₽
Toyota Avensis,2007,1.8,129,бензин,АКПП,передний,225000,Екатеринбург,940 000 ₽
Daewoo Matiz,2003,0.8,51,бензин,механика,передний,0,Оренбург,155 000 ₽
Renault Logan,2022,1.6,82,бензин,механика,передний,42232,Москва,1 530 000 ₽
Nissan Juke,2012,1.6,117,бензин,вариатор,передний,88904,Минск,1 035 910 ₽
Лада 2107,2005,1.6,74,бензин,механика,задний,23618,Екатеринбург,65 000 ₽
Hyundai Genesis,2008,3.8,290,бензин,АКПП,задний,250000,Челябинск,750 000 ₽
Лада Гранта,2019,1.6,87,бензин,механика,передний,60000,Ульяновск,799 999 ₽
Opel Corsa,2008,1.4,90,бензин,механика,передний,156098,Воронеж,380 000 ₽
Skoda Fabia,2014,1.2,70,бензин,механика,передний,146200,Севастополь,740 000 ₽
Nissan Liberty,1999,2.0,140,бензин,АКПП,4WD,260000,Екатеринбург,310 000 ₽
Лада 2107,2008,1.6,76,бензин,механика,задний,0,Алексин,80 000 ₽
Лада 2114 Самара,2011,1.6,81,бензин,механика,передний,83977,Нижневартовск,235 000 ₽
Лада 2107,2008,1.6,76,бензин,механика,задний,50000,Барнаул,169 000 ₽
BMW 5-Series,2022,2.0,163,гибрид,АКПП,задний,62000,Краснодар,6 600 000 ₽
Kia Rio,2018,1.6,123,бензин,АКПП,передний,97394,Киров,1 590 000 ₽
Kia Rio,2016,1.6,123,бензин,АКПП,передний,71000,Орел,1 290 000 ₽
Лада 2105,1983,1.5,71,бензин,механика,задний,127000,Севастополь,65 000 ₽
Volkswagen Tiguan,2013,2.0,170,бензин,АКПП,4WD,177000,Мурманск,1 600 000 ₽
Chery Bonus 3 - A19,2015,1.5,109,бензин,механика,передний,104000,Екатеринбург,545 000 ₽
Ford Focus,2002,2.0,130,бензин,АКПП,передний,217000,Челябинск,169 500 ₽
Toyota Estima,2006,3.5,280,бензин,АКПП,передний,150000,Барнаул,870 000 ₽
Audi A3,2005,2.0,150,бензин,АКПП,передний,0,Оренбург,550 000 ₽
Citroen C-Crosser,2011,2.4,170,бензин,вариатор,4WD,132000,Тверь,1 450 000 ₽
Toyota Mark II,2003,2.5,200,бензин,АКПП,задний,240000,Волгодонск,470 000 ₽
Chevrolet Cruze,2010,1.6,109,бензин,механика,передний,103600,Керчь,500 000 ₽
Лада Веста Кросс,2020,1.6,106,бензин,механика,передний,64756,Киров,1 519 000 ₽
Geely Coolray,2023,1.5,147,бензин,робот,передний,0,Сунжа,2 999 999 ₽
Toyota Venza,2013,2.7,185,бензин,АКПП,4WD,129000,Северодвинск,2 480 000 ₽
Hyundai Solaris,2013,1.6,123,бензин,АКПП,передний,114000,Челябинск,955 000 ₽
Lexus RX350,2007,3.5,276,бензин,АКПП,4WD,317000,Омск,1 670 000 ₽
Hyundai Santa Fe,2013,2.4,175,бензин,АКПП,4WD,160000,Киров,1 930 000 ₽
Renault Talisman,2016,1.5,110,дизель,механика,передний,129782,Минск,1 531 389 ₽
Лада 2115 Самара,2007,1.6,81,бензин,механика,передний,190000,Каменск-Уральский,215 000 ₽
Lexus LX450d,2017,4.5,272,дизель,АКПП,4WD,109800,Иркутск,6 050 000 ₽
Лада Веста Кросс,2023,1.6,106,бензин,механика,передний,0,Ижевск,1 758 800 ₽
Volkswagen Jetta,2013,1.4,122,бензин,робот,передний,147000,Анапа,1 499 999 ₽
Mitsubishi Lancer,2006,1.6,98,бензин,механика,передний,180000,Бузулук,410 000 ₽
Chery Amulet A15,2007,1.6,88,бензин,механика,передний,0,Шахты,150 000 ₽
Chevrolet Aveo,2007,1.2,72,бензин,механика,передний,118000,Нижний Новгород,450 000 ₽
Opel Zafira,2009,1.8,140,бензин,механика,передний,222000,Нижний Новгород,675 000 ₽
Hyundai Solaris,2020,1.4,100,бензин,механика,передний,110500,Краснодар,1 300 000 ₽
Mitsubishi ASX,2013,2.0,150,бензин,вариатор,4WD,166700,Нижний Новгород,1 550 000 ₽
Лада Ларгус,2013,1.6,105,бензин,механика,передний,153301,Нижний Новгород,835 000 ₽
Лада Ларгус,2013,1.6,105,бензин,механика,передний,0,Сунжа,520 000 ₽
Лада Гранта,2020,1.6,87,бензин,механика,передний,63000,Нижний Новгород,780 000 ₽
Лада Калина,2011,1.6,84,бензин,механика,передний,172000,Уфа,270 000 ₽
Лада Приора,2010,1.6,98,бензин,механика,передний,0,Сунжа,260 000 ₽
Лада Калина,2012,1.6,81,бензин,механика,передний,150000,Нижний Новгород,350 000 ₽
Toyota Passo,2018,1.0,69,бензин,вариатор,4WD,120000,Нижний Новгород,999 999 ₽
Chevrolet Cruze,2012,1.6,124,бензин,механика,передний,189125,Новый Уренгой,630 000 ₽
Лада 2110,2004,1.6,89,бензин,механика,передний,0,Малгобек,85 000 ₽
Lexus LX570,2015,5.7,367,бензин,АКПП,4WD,161555,Москва,6 800 000 ₽
Hyundai i30,2013,1.6,130,бензин,АКПП,передний,251000,Кемерово,1 350 000 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,,Москва,3 109 000 ₽
SEAT Leon,2018,1.6,115,дизель,робот,передний,145000,Москва,1 850 000 ₽
Cadillac Escalade,2008,6.2,409,бензин,АКПП,4WD,277000,Темрюк,1 800 000 ₽
Hyundai Sonata,2015,2.4,185,бензин,АКПП,передний,59700,Назрань,1 850 000 ₽
Hyundai Solaris,2016,1.4,107,бензин,АКПП,передний,102551,Краснодар,1 195 000 ₽
Лада 2114 Самара,2006,1.6,80,бензин,механика,передний,0,Энгельс,75 000 ₽
Toyota Camry,2014,2.5,181,бензин,АКПП,передний,165500,Казань,1 970 000 ₽
Ford Kuga,2013,1.6,182,бензин,АКПП,4WD,107107,Казань,1 449 000 ₽
Лада 2115 Самара,2008,1.6,81,бензин,механика,передний,141000,Малгобек,320 000 ₽
Renault Clio,2019,1.5,90,дизель,механика,передний,166564,Минск,1 071 945 ₽
Audi Q5,2012,2.0,211,бензин,АКПП,4WD,193000,Санкт-Петербург,1 480 000 ₽
Лада Гранта,2022,1.6,90,бензин,механика,передний,42766,Мончегорск,869 000 ₽
Лада 21099,2003,1.5,78,бензин,механика,передний,127000,Серноводское,200 000 ₽
Kia Rio,2021,1.6,123,бензин,АКПП,передний,60000,Сунжа,1 850 000 ₽
Volkswagen Polo,2011,1.6,105,бензин,АКПП,передний,132300,Санкт-Петербург,875 000 ₽
Audi A4,2004,2.0,200,бензин,АКПП,4WD,215500,Челябинск,899 999 ₽
Mercedes-Benz E-Class,1998,2.4,170,бензин,АКПП,задний,359559,Астрахань,390 000 ₽
Chevrolet Niva,2006,1.7,80,бензин,механика,4WD,0,Орск,410 000 ₽
Mercedes-Benz E-Class,2020,2.0,197,бензин,АКПП,4WD,37000,Новокузнецк,6 100 000 ₽
Volkswagen Polo,2012,1.6,105,бензин,АКПП,передний,122000,Нефтеюганск,1 100 000 ₽
Chery Tiggo 2,2017,1.5,106,бензин,механика,передний,83713,Липецк,1 080 000 ₽
Toyota RAV4,2007,2.0,152,бензин,АКПП,4WD,260000,Магнитогорск,1 270 000 ₽
Suzuki SX4,2012,1.6,112,бензин,механика,4WD,166000,Ярославль,1 055 000 ₽
Ford Focus,2013,1.6,125,бензин,механика,передний,211000,Нижний Новгород,950 000 ₽
Лада 2106,1990,1.5,72,бензин,механика,задний,0,Челябинск,107 000 ₽
Toyota Vitz,2009,1.0,71,бензин,вариатор,передний,196000,Новосибирск,650 000 ₽
Renault Kaptur,2017,1.6,114,бензин,вариатор,передний,110000,Обнинск,1 450 000 ₽
Volkswagen Polo,2010,1.6,105,бензин,механика,передний,200000,Москва,400 000 ₽
Opel Astra,2012,1.6,115,бензин,АКПП,передний,132700,Новопокровская,730 000 ₽
Лада Гранта,2013,1.6,87,бензин,механика,передний,0,Оренбург,350 000 ₽
Haval F7,2022,1.5,150,бензин,робот,4WD,1797,Москва,2 700 000 ₽
Mercedes-Benz G-Class,2023,4.0,585,бензин,робот,4WD,0,Москва,28 500 000 ₽
Лада 2114 Самара,2007,1.6,81,бензин,механика,передний,0,Новомосковск,75 000 ₽
Skoda Octavia,2016,1.8,180,бензин,робот,передний,190366,Санкт-Петербург,1 388 000 ₽
Toyota Land Cruiser,2003,4.7,235,бензин,АКПП,4WD,389000,Зуя,2 150 000 ₽
Jetour X90 Plus,2023,1.6,190,бензин,робот,передний,0,Москва,3 400 000 ₽
Skoda Octavia,2012,1.4,122,бензин,механика,передний,260000,Магнитогорск,870 000 ₽
Skoda Octavia,2009,1.8,152,бензин,робот,передний,180000,Пионерское,950 000 ₽
BMW X5,2011,3.0,306,бензин,АКПП,4WD,120000,Санкт-Петербург,2 350 000 ₽
Volkswagen Golf,2010,1.4,122,бензин,механика,передний,189383,Санкт-Петербург,837 000 ₽
Chery Tiggo 8,2020,2.0,170,бензин,вариатор,передний,46406,Санкт-Петербург,1 891 000 ₽
Лада Гранта,2012,1.6,87,бензин,механика,передний,145805,Екатеринбург,400 000 ₽
Ford Kuga,2011,2.5,200,бензин,АКПП,4WD,115631,Санкт-Петербург,1 223 000 ₽
Audi A6,1994,2.6,150,бензин,механика,передний,292000,Тверь,550 000 ₽
Лада 2107,2006,1.6,74,бензин,механика,задний,150000,Невьянск,115 000 ₽
Toyota Noah,2017,2.0,152,бензин,вариатор,передний,145000,Краснодар,2 285 000 ₽
Nissan Bluebird Sylphy,2001,1.5,105,бензин,АКПП,передний,202000,Омск,350 000 ₽
Peugeot 308,2008,1.6,120,бензин,АКПП,передний,163000,Омск,555 000 ₽
Mercedes-Benz C-Class,2012,1.8,184,бензин,АКПП,задний,241000,Санкт-Петербург,1 360 000 ₽
Lexus NX200,2015,2.0,150,бензин,вариатор,4WD,156000,Новосибирск,3 290 000 ₽
Ford Kuga,2016,2.5,150,бензин,АКПП,передний,86000,Минск,1 260 317 ₽
Лада Калина,2010,1.6,80,бензин,механика,передний,180000,Омск,249 999 ₽
Mazda Mazda6,2013,2.5,192,бензин,АКПП,передний,215000,Тюмень,1 400 000 ₽
