name,year,engine_capacity,horse_power,fuel,transmission,drive_unit,mileage,location,price
Cadillac Escalade,2023,6.2,420,бензин,АКПП,4WD,0,Москва,17 390 000 ₽
Cadillac Escalade,2023,3.0,277,дизель,АКПП,4WD,0,Москва,16 490 000 ₽
BMW XM,2023,4.4,653,гибрид,автомат,4WD,0,Москва,23 190 000 ₽
Lexus RZ450e,2023,,308,электро,АКПП,4WD,0,Москва,7 990 000 ₽
Toyota Sequoia,2023,3.4,437,гибрид,АКПП,4WD,0,Москва,14 440 000 ₽
RAM 1500,2023,6.2,702,бензин,АКПП,4WD,0,Москва,15 990 000 ₽
Mercedes-Benz GLE,2023,2.0,255,бензин,автомат,4WD,0,Москва,11 590 000 ₽
RAM 1500,2023,6.2,702,бензин,АКПП,4WD,0,Москва,15 990 000 ₽
Toyota Sequoia,2023,3.4,437,гибрид,АКПП,4WD,0,Москва,13 540 000 ₽
RAM 1500,2023,6.2,702,бензин,АКПП,4WD,0,Москва,16 990 000 ₽
BMW X7,2022,4.4,530,бензин,АКПП,4WD,7000,Москва,16 990 000 ₽
Volkswagen Passat,2019,2.0,150,дизель,робот,передний,164000,Москва,2 230 000 ₽
Li L7,2023,1.5,154,гибрид,АКПП,4WD,,Москва,6 350 000 ₽
EXEED RX,2023,2.0,249,бензин,робот,4WD,0,Москва,3 400 000 ₽
BMW 7-Series,2019,3.0,249,дизель,АКПП,4WD,83000,Москва,7 490 000 ₽
Li L7,2024,1.5,154,гибрид,АКПП,4WD,0,Москва,5 100 000 ₽
Geely Galaxy L7,2023,1.5,161,гибрид,АКПП,передний,0,Москва,3 300 000 ₽
Li L7,2023,1.5,154,гибрид,АКПП,4WD,,Москва,5 600 000 ₽
Skoda Yeti,2012,1.8,152,бензин,робот,4WD,123000,Москва,1 050 000 ₽
Toyota Alphard,2023,2.5,182,бензин,вариатор,передний,,Москва,6 590 000 ₽
Toyota Noah,2018,1.8,99,гибрид,вариатор,передний,30800,Москва,2 590 000 ₽
Toyota Camry,2023,2.5,209,бензин,автомат,передний,0,Москва,4 449 000 ₽
Toyota Land Cruiser,2023,4.0,275,бензин,АКПП,4WD,0,Москва,10 949 000 ₽
Toyota Land Cruiser,2023,3.3,299,дизель,АКПП,4WD,0,Москва,12 949 000 ₽
BMW X1,2019,2.0,231,бензин,робот,4WD,56789,Москва,2 875 000 ₽
Voyah Free,2024,1.5,490,гибрид,автомат,4WD,,Москва,4 800 000 ₽
Li L7,2023,1.5,154,гибрид,АКПП,4WD,0,Москва,6 100 000 ₽
Daihatsu Tanto,2019,0.7,64,бензин,вариатор,передний,67500,Москва,1 585 000 ₽
Porsche Cayenne,2018,4.0,550,бензин,АКПП,4WD,63000,Москва,10 500 000 ₽
Audi A8,2022,3.0,340,бензин,автомат,4WD,20868,Москва,13 499 000 ₽
Mercedes-Benz G-Class,2015,5.5,544,бензин,АКПП,4WD,60000,Москва,9 777 777 ₽
Mercedes-Benz S-Class,2016,5.5,585,бензин,робот,4WD,90000,Москва,9 700 000 ₽
BMW X7,2019,3.0,340,бензин,АКПП,4WD,98100,Москва,7 100 000 ₽
Infiniti FX37,2011,3.7,333,бензин,АКПП,4WD,235000,Москва,2 530 000 ₽
Jeep Wrangler,2021,2.0,272,бензин,АКПП,4WD,7290,Москва,5 700 000 ₽
Lexus RX350,2015,3.5,277,бензин,АКПП,4WD,100000,Москва,3 600 000 ₽
GAC GS8,2023,2.0,231,бензин,АКПП,4WD,0,Москва,3 880 000 ₽
Kia Mohave,2021,3.0,249,дизель,АКПП,4WD,15259,Москва,5 000 000 ₽
Changan UNI-K,2023,2.0,226,бензин,АКПП,4WD,5000,Москва,4 350 000 ₽
Changan UNI-K,2023,2.0,232,бензин,АКПП,4WD,0,Москва,3 350 000 ₽
Mercedes-Benz Viano,2008,2.1,150,дизель,АКПП,задний,520000,Москва,1 150 000 ₽
Лада Веста Кросс,2023,1.6,106,бензин,механика,передний,6500,Москва,1 730 000 ₽
Audi A4,2019,2.0,252,бензин,автомат,4WD,81000,Москва,3 950 000 ₽
Toyota RAV4,2006,2.0,152,бензин,АКПП,4WD,43931,Москва,2 200 000 ₽
BMW 7-Series,2018,2.0,258,бензин,АКПП,задний,150100,Москва,3 800 000 ₽
Volvo XC60,2021,2.0,249,бензин,АКПП,4WD,18000,Москва,4 050 000 ₽
Hongqi H5,2023,2.0,224,бензин,АКПП,передний,0,Москва,3 950 000 ₽
